revision;totalFiles;nonJavaFiles;nonJavaEqualFiles;nonJavaMergedFiles;nonJavaFilesConfs;javaFiles;javaEqualFiles;javaMergedFiles;badParsedFiles;javaFilesConfsSS;javaFilesConfsUN;javaEqualConfs;mergeTime
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_46c4acd_6e5b0a6/rev_46c4acd-6e5b0a6.revisions;1399;492;0;492;0;907;907;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_bccb699_0b65a8e/rev_bccb699-0b65a8e.revisions;1400;493;0;493;0;907;907;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_ac1f964_2970e70/rev_ac1f964-2970e70.revisions;1400;493;0;493;0;907;907;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_422f68c_5c17db3/rev_422f68c-5c17db3.revisions;1400;493;0;493;0;907;907;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_1702ac7_c12e290/rev_1702ac7-c12e290.revisions;1400;493;0;493;0;907;907;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_0bb8b89_8ff7b8d/rev_0bb8b89-8ff7b8d.revisions;1400;493;0;493;0;907;907;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_58684d1_26d53d2/rev_58684d1-26d53d2.revisions;1400;493;0;493;0;907;907;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_6f3d9b7_04e30b5/rev_6f3d9b7-04e30b5.revisions;1400;493;0;493;0;907;907;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_b1d81f4_f0d5520/rev_b1d81f4-f0d5520.revisions;1400;493;0;493;0;907;907;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_8937ace_6bb8f99/rev_8937ace-6bb8f99.revisions;1405;498;0;498;0;907;907;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_300a0da_c74b5e6/rev_300a0da-c74b5e6.revisions;1409;498;0;498;0;911;911;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_0767e0b_21699ec/rev_0767e0b-21699ec.revisions;1412;501;0;501;0;911;911;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_95e8ada_d159834/rev_95e8ada-d159834.revisions;1409;498;0;498;0;911;911;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_ed89b1a_5f1b8a7/rev_ed89b1a-5f1b8a7.revisions;1409;498;0;498;0;911;911;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_ee563e6_ab4016b/rev_ee563e6-ab4016b.revisions;1409;498;0;498;0;911;911;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_65f432b_a04066b/rev_65f432b-a04066b.revisions;1409;498;0;498;0;911;911;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_d3a073f_90b09f7/rev_d3a073f-90b09f7.revisions;1410;499;0;499;0;911;911;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_a55cd53_5c3fa3e/rev_a55cd53-5c3fa3e.revisions;1418;503;0;503;0;915;915;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_4585a53_5293035/rev_4585a53-5293035.revisions;1421;503;0;503;0;918;918;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_117fe2d_0ee87fa/rev_117fe2d-0ee87fa.revisions;1421;503;0;503;0;918;918;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_6cb815a_f277dcc/rev_6cb815a-f277dcc.revisions;1421;503;0;503;0;918;918;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_350078b_15506f3/rev_350078b-15506f3.revisions;1421;503;0;503;0;918;918;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_7ef7e17_2a07bdf/rev_7ef7e17-2a07bdf.revisions;1421;503;0;503;0;918;918;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_95e7186_675a56e/rev_95e7186-675a56e.revisions;1421;503;0;503;0;918;918;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_299e263_4788925/rev_299e263-4788925.revisions;1428;506;0;506;0;922;922;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_634b921_d77b9f3/rev_634b921-d77b9f3.revisions;1424;506;0;506;0;918;918;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_6b84a3f_88a4bc4/rev_6b84a3f-88a4bc4.revisions;1428;506;0;506;0;922;922;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_6e158d8_79d36b2/rev_6e158d8-79d36b2.revisions;1396;513;0;513;0;883;883;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_79d36b2_65a2b5c/rev_79d36b2-65a2b5c.revisions;1428;506;0;506;0;922;922;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_9271d28_e0c0ecb/rev_9271d28-e0c0ecb.revisions;1428;506;0;506;0;922;922;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_fb89c55_d70e491/rev_fb89c55-d70e491.revisions;1430;507;0;507;0;923;923;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_1d69b3d_4cfc129/rev_1d69b3d-4cfc129.revisions;1431;508;0;508;0;923;918;4;1;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_cd320bc_f632bbb/rev_cd320bc-f632bbb.revisions;1432;508;0;508;0;924;922;1;1;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Mybatis-3/revisions/rev_dd4a180_259064e/rev_dd4a180-259064e.revisions;1431;508;0;508;0;923;923;0;0;0;0;0;0
